timestamp,S&P500,VIX,ValueOverGrowth,SmallOverLarge,USD_to_EUR,USD_to_GBP,JPY_to_USD,CNH_to_USD,MXN_to_USD,CAD_to_USD,_10_y_UST,_10_y_UST_real,_10_y_BE,_2s10s_UST,Brent_Crude,Return On Assets - Actual,Price To Sales Per Share,Total Debt To Enterprise Value,Price To Book Value Per Share,Company Market Capitalization,Trailing 30-day Price Net Change,Average Daily Value Traded - 30 Days,Weekly Sharpe Ratio - 2 Year,Volatility - 260 days,RSI Simple - 14 Days,Short Interest Pct,Days To Cover,Convexity
PEP.OQ,0.053,0.938,0.738,0.041,0.025,0.057,0.558,0.987,0.936,0.969,0.427,0.885,0.075,0.239,0.087,0.606,0.529,0.36,0.917,0.949,0.905,0.945,0.927,0.006,1.0,0.061,0.319,0.477
CDW.OQ,0.735,0.248,0.255,0.575,0.471,0.544,0.827,0.651,0.418,0.462,0.739,0.583,0.679,0.711,0.64,0.269,0.166,0.554,0.947,0.43,0.073,0.582,0.576,0.481,0.834,0.093,0.194,0.521
USB.N,0.535,0.419,0.967,0.765,0.54,0.56,0.913,0.623,0.269,0.291,0.952,0.888,0.693,0.976,0.637,0.089,0.701,0.949,0.174,0.774,0.226,0.853,0.034,0.669,0.341,0.059,0.028,0.232
RF.N,0.834,0.146,0.856,0.963,0.822,0.817,0.887,0.435,0.101,0.099,0.948,0.534,0.936,0.941,0.881,0.101,0.703,0.248,0.162,0.36,0.37,0.402,0.18,0.63,0.131,0.614,0.596,0.404
AAL.OQ,0.9,0.34,0.501,0.873,0.892,0.872,0.954,0.421,0.122,0.105,0.949,0.822,0.797,0.863,0.608,0.008,0.006,0.992,0.036,0.044,0.5,0.661,0.279,0.917,0.828,0.998,0.766,0.915
PSA.N,0.168,0.92,0.433,0.166,0.418,0.517,0.098,0.475,0.811,0.795,0.097,0.493,0.125,0.105,0.049,0.707,0.968,0.279,0.681,0.693,0.598,0.572,0.747,0.335,0.798,0.499,0.705,0.21
FTV.N,0.631,0.347,0.506,0.632,0.685,0.704,0.232,0.373,0.263,0.305,0.422,0.286,0.662,0.331,0.546,0.389,0.671,0.358,0.426,0.404,0.354,0.281,0.398,0.269,0.321,0.408,0.729,0.695
BWA.N,0.691,0.294,0.538,0.785,0.952,0.853,0.522,0.358,0.233,0.116,0.709,0.429,0.758,0.809,0.787,0.384,0.085,0.754,0.184,0.073,0.293,0.174,0.4,0.606,0.129,0.646,0.616,0.566
KR.N,0.012,0.986,0.788,0.037,0.005,0.006,0.665,0.976,0.999,0.984,0.442,0.955,0.03,0.434,0.091,0.356,0.01,0.715,0.527,0.533,0.527,0.527,0.82,0.293,0.851,0.673,0.626,0.061
SWK.N,0.849,0.193,0.44,0.727,0.835,0.909,0.321,0.109,0.186,0.174,0.305,0.094,0.773,0.5,0.804,0.429,0.095,0.855,0.135,0.121,0.578,0.238,0.012,0.848,0.606,0.915,0.818,0.198
PCG.N,0.693,0.273,0.473,0.684,0.516,0.646,0.674,0.651,0.156,0.418,0.608,0.29,0.742,0.37,0.761,0.123,0.333,0.931,0.2,0.616,0.61,0.453,0.949,0.406,0.865,0.865,0.933,0.057
CLX.N,0.012,0.997,0.581,0.006,0.014,0.006,0.581,0.996,0.994,0.996,0.219,0.955,0.005,0.587,0.028,0.546,0.465,0.362,0.99,0.291,0.903,0.511,0.497,0.329,0.778,0.927,0.937,0.327
