timestamp,S&P500,VIX,ValueOverGrowth,SmallOverLarge,USD_to_EUR,USD_to_GBP,JPY_to_USD,CNH_to_USD,MXN_to_USD,CAD_to_USD,_10_y_UST,_10_y_UST_real,_10_y_BE,_2s10s_UST,Brent_Crude,Return On Assets - Actual,Price To Sales Per Share,Total Debt To Enterprise Value,Price To Book Value Per Share,Company Market Capitalization,Trailing 30-day Price Net Change,Average Daily Value Traded - 30 Days,Weekly Sharpe Ratio - 2 Year,Volatility - 260 days,RSI Simple - 14 Days,Short Interest Pct,Days To Cover,Convexity
PEP.OQ,-1.993583383695377,1.3587155553031631,1.3928671581972716,-1.7323040999276935,-1.335047940707392,-1.2018510985457007,-0.10754888925291461,1.1562498938139942,1.034519202605123,1.5270322754247347,-0.14507041425411,0.6194898492988019,-1.1760826956553565,-0.33014043722632447,-1.0592657027375396,0.039,0.045,-0.147,1.322,1.914,1.041,1.69,1.436,-2.113,2.651,-1.361,-0.532,-0.099
CDW.OQ,0.8160639764779869,-1.022754464070361,-0.05244487241096775,0.8574766851330523,0.10357835766985715,0.33296816290812375,0.28762904541575834,-0.0608622865521314,-0.7869145516762268,-0.6456852561047867,0.4701020743675559,-0.13831745976150844,0.6725781337432872,0.26386032607409804,0.3608699607594544,-0.658,-1.03,0.227,1.681,-0.331,-1.334,0.045,0.22,-0.152,1.004,-1.255,-0.823,-0.007
USB.N,0.2775666894785915,-0.5540639211746898,2.1549259903442186,1.71524734669074,0.2182377493536204,0.3604771025534829,0.5083508834191843,-0.09508002757205991,-1.1917131173116897,-1.1497147777409982,1.326422682396835,0.6250682984921828,0.6910762430692484,1.13922227030563,0.3530611234606573,-1.049,0.516,1.351,-0.757,0.647,-0.421,0.988,-2.024,0.338,-0.536,-1.382,-1.612,-0.72
RF.N,1.1721537672289024,-1.3630444632353726,1.6964344723751184,2.995396253091813,0.7656876845683993,0.9265955725182011,0.4146710387274144,-0.3315261123578347,-1.8485848645428526,-1.9203044322793588,1.2505056111961994,-0.24023224146598704,1.8101803637882483,0.903132107176631,1.1244089938562754,-1.032,0.521,-0.427,-0.775,-0.506,-0.169,-0.329,-0.851,0.214,-1.121,0.249,0.074,-0.231
AAL.OQ,1.7443418004566476,-0.777204859249982,0.6384026417637743,2.7142737839198494,1.186584397386329,1.2807767110253345,0.8313670059108301,-0.3461545579031612,-1.9945373342809132,-2.2207231166219468,1.4653750247450987,0.38610192271663374,1.2039042940304343,0.6672486768595076,0.26762227465885263,-2.519,-1.871,1.886,-1.758,-1.364,-0.024,0.286,-0.527,1.513,0.983,3.121,0.638,1.29
PSA.N,-1.0215498998419723,1.152785860293272,0.5329289953818941,-0.7401110842566043,0.01931164187375985,0.28107428782900223,-0.7895606988860802,-0.28197062852704546,0.2866143785772228,0.341846963707752,-0.9508091595740196,-0.31338092102669746,-0.8919843254254641,-0.5693406172461616,-1.2200200635636884,0.363,1.948,-0.343,0.307,0.353,0.098,0.032,0.658,-0.533,0.906,-0.088,0.395,-0.801
FTV.N,0.5315458346983479,-0.7323635969809865,0.7301831364765177,1.091775297245899,0.4788062110664664,0.6469337498661776,-0.5288801016645612,-0.41372826252396333,-1.2170504648003169,-1.1100626501535567,-0.14869288710461404,-0.6677567951740127,0.6280190991634935,-0.20094807748844362,0.13166205246002122,-0.396,0.41,-0.149,-0.327,-0.39,-0.185,-0.599,-0.234,-0.675,-0.587,-0.291,0.517,0.496
BWA.N,0.6770476442121461,-0.8909812232421819,0.801957311642214,1.8294593239723556,1.2070766548875862,1.016636407411331,-0.14220770006380481,-0.43546064482827884,-1.315823175311893,-1.8269674721292577,0.3848171194692894,-0.397577602196276,0.9281947464186955,0.44636165813488105,0.7039219503984459,-0.4,-1.38,0.688,-0.744,-1.238,-0.271,-0.903,-0.234,0.14,-1.123,0.323,0.099,0.145
KR.N,-2.715172120427486,2.033541244738852,1.448145527278038,-1.6017671597213237,-1.728024933573582,-1.98996612517384,0.04634435071959651,0.9352859925721742,2.08940599391699,1.8344403603595858,-0.11887707338754983,0.9483542828712783,-1.604796062431799,-0.08615367858233475,-0.952071827861751,-0.451,-1.825,0.595,-0.087,-0.064,0.015,-0.077,0.915,-0.617,1.048,0.371,0.15,-1.391
SWK.N,1.2261994606637967,-1.1817124176343006,0.5382748478107171,1.5616299244403842,0.798962191422073,1.2243039154752469,-0.39957304950957934,-0.8053615834592602,-1.4484507465026917,-1.529722541109626,-0.36754553929202766,-1.1383914982977563,1.0104454694657616,-0.023300197339698424,0.7548587028336882,-0.322,-1.34,0.911,-0.86,-1.079,0.076,-0.724,-2.508,1.036,0.191,1.462,0.887,-0.84
PCG.N,0.693192360873365,-0.9664574542310128,0.6236068225592266,1.3409344853879503,0.17314663270383163,0.5092904667964872,0.053983590202401885,-0.0704211090156503,-1.6366988311344297,-0.7660353541143704,0.11183775815236913,-0.6397250279457275,0.9206033244372012,-0.1570869261774332,0.6616336377261841,-0.95,-0.476,1.215,-0.714,0.156,0.112,-0.254,1.61,-0.338,1.08,1.124,1.761,-1.438
CLX.N,-2.6814482560999764,2.2821102549046826,0.8940135765183372,-2.2556047034408344,-1.4948775327879322,-1.9377621769242577,-0.07634783167311776,1.1660680953602927,1.8562041582576048,2.0601937841033235,-0.5584881967753532,0.9251495648016376,-2.1323496719932473,0.07105367383744401,-1.381239413799702,-0.124,-0.175,-0.136,2.884,-0.652,1.0,-0.099,-0.003,-0.551,0.84,1.612,1.782,-0.429
PPG.N,0.4286537604718277,-0.5474255911321297,0.7505205802309243,0.9279678552078483,0.749068529990603,0.6290044497734597,-0.12696664984622164,-0.6039162578256059,-1.180516012204245,-1.086229961927421,-0.021415470226243016,-0.34851889964464444,0.3416347906688902,0.1411207775020759,-0.00553750853440998,-0.155,-0.582,0.161,0.306,-0.138,0.566,-0.092,-0.838,0.124,-0.486,-0.872,-0.4,0.538
