timestamp,S&P500,VIX,ValueOverGrowth,SmallOverLarge,USD_to_EUR,USD_to_GBP,JPY_to_USD,CNH_to_USD,MXN_to_USD,CAD_to_USD,_10_y_UST,_10_y_UST_real,_10_y_BE,_2s10s_UST,Brent_Crude,Return On Assets - Actual,Price To Sales Per Share,Total Debt To Enterprise Value,Price To Book Value Per Share,Company Market Capitalization,Trailing 30-day Price Net Change,Average Daily Value Traded - 30 Days,Weekly Sharpe Ratio - 2 Year,Volatility - 260 days,RSI Simple - 14 Days,Short Interest Pct,Days To Cover,Convexity
PEP.OQ,0.077,0.907,0.63,0.069,0.044,0.079,0.558,0.974,0.909,0.952,0.43,0.846,0.099,0.267,0.115,0.606,0.529,0.36,0.917,0.949,0.905,0.945,0.927,0.006,1.0,0.061,0.319,0.477
CDW.OQ,0.675,0.315,0.253,0.541,0.457,0.511,0.788,0.644,0.455,0.481,0.701,0.586,0.64,0.667,0.61,0.269,0.166,0.554,0.947,0.43,0.073,0.582,0.576,0.481,0.834,0.093,0.194,0.521
USB.N,0.537,0.42,0.954,0.735,0.533,0.554,0.893,0.624,0.293,0.313,0.925,0.889,0.687,0.962,0.628,0.089,0.701,0.949,0.174,0.774,0.226,0.853,0.034,0.669,0.341,0.059,0.028,0.232
RF.N,0.838,0.154,0.915,0.925,0.84,0.83,0.891,0.422,0.111,0.117,0.941,0.527,0.913,0.939,0.873,0.101,0.703,0.248,0.162,0.36,0.37,0.402,0.18,0.63,0.131,0.614,0.596,0.404
AAL.OQ,0.962,0.259,0.612,0.968,0.966,0.956,0.988,0.343,0.04,0.042,0.992,0.899,0.889,0.937,0.667,0.008,0.006,0.992,0.036,0.044,0.5,0.661,0.279,0.917,0.828,0.998,0.766,0.915
PSA.N,0.174,0.915,0.406,0.172,0.412,0.501,0.117,0.491,0.81,0.792,0.117,0.503,0.127,0.117,0.055,0.707,0.968,0.279,0.681,0.693,0.598,0.572,0.747,0.335,0.798,0.499,0.705,0.21
FTV.N,0.592,0.374,0.461,0.602,0.634,0.634,0.259,0.408,0.327,0.36,0.424,0.327,0.626,0.341,0.527,0.389,0.671,0.358,0.426,0.404,0.354,0.281,0.398,0.269,0.321,0.408,0.729,0.695
BWA.N,0.687,0.305,0.547,0.772,0.923,0.826,0.519,0.352,0.242,0.158,0.709,0.418,0.749,0.804,0.78,0.384,0.085,0.754,0.184,0.073,0.293,0.174,0.4,0.606,0.129,0.646,0.616,0.566
KR.N,0.002,0.996,0.869,0.018,0.002,0.002,0.681,0.992,1.0,0.998,0.44,0.974,0.018,0.434,0.061,0.356,0.01,0.715,0.527,0.533,0.527,0.527,0.82,0.293,0.851,0.673,0.626,0.061
SWK.N,0.832,0.2,0.455,0.739,0.828,0.879,0.307,0.133,0.202,0.184,0.293,0.107,0.772,0.501,0.8,0.429,0.095,0.855,0.135,0.121,0.578,0.238,0.012,0.848,0.606,0.915,0.818,0.198
PCG.N,0.743,0.226,0.533,0.743,0.552,0.711,0.701,0.657,0.117,0.368,0.638,0.238,0.784,0.352,0.806,0.123,0.333,0.931,0.2,0.616,0.61,0.453,0.949,0.406,0.865,0.865,0.933,0.057
CLX.N,0.004,1.0,0.614,0.002,0.008,0.004,0.582,1.0,0.998,1.0,0.194,0.97,0.004,0.6,0.01,0.546,0.465,0.362,0.99,0.291,0.903,0.511,0.497,0.329,0.778,0.927,0.937,0.327
PPG.N,0.574,0.43,0.489,0.588,0.78,0.663,0.539,0.281,0.317,0.352,0.501,0.481,0.549,0.62,0.481,0.535,0.303,0.503,0.679,0.501,0.8,0.513,0.186,0.604,0.36,0.198,0.394,0.719
CCI.N,0.232,0.855,0.386,0.107,0.293,0.386,0.067,0.566,0.766,0.804,0.042,0.404,0.079,0.093,0.057,0.153,0.903,0.665,0.814,0.743,0.097,0.596,0.081,0.442,0.214,0.147,0.145,0.493
