timestamp,S&P500,VIX,ValueOverGrowth,SmallOverLarge,USD_to_EUR,USD_to_GBP,JPY_to_USD,CNH_to_USD,MXN_to_USD,CAD_to_USD,_10_y_UST,_10_y_UST_real,_10_y_BE,_2s10s_UST,Brent_Crude,Return On Assets - Actual,Price To Sales Per Share,Total Debt To Enterprise Value,Price To Book Value Per Share,Company Market Capitalization,Trailing 30-day Price Net Change,Average Daily Value Traded - 30 Days,Weekly Sharpe Ratio - 2 Year,Volatility - 260 days,RSI Simple - 14 Days,Short Interest Pct,Days To Cover,Convexity
PEP.OQ,-1.3453120106725907,0.8533993510415265,0.8757987607213977,-1.1739437227441427,-0.9133906972882676,-0.8260293325846647,-0.10829659320084073,0.7206058387761236,0.6407649120865085,0.9637951992734604,-0.132906272955002,0.3685547747554748,-0.8091283099613206,-0.25429030511511175,-0.7325101878178307,0.039,0.045,-0.147,1.322,1.914,1.041,1.69,1.436,-2.113,2.651,-1.361,-0.532,-0.099
CDW.OQ,0.5582696413361932,-0.7688930743803882,-0.06857449786638,0.5881591626026028,0.044034887151094305,0.2095964184934329,0.17687302124415524,-0.07464974595208364,-0.5986761939612308,-0.49674429502212825,0.3085724839580929,-0.13055282792911704,0.4547090849966129,0.15971800614588588,0.2297344729055392,-0.658,-1.03,0.227,1.681,-0.331,-1.334,0.045,0.22,-0.152,1.004,-1.255,-0.823,-0.007
USB.N,0.21408322046163072,-0.4823660659169634,1.786278289540433,1.4180692870268903,0.16439818303957604,0.2835165689695735,0.40735350791668845,-0.09798987645982642,-1.016365562713559,-0.9811940415497131,1.092447963683388,0.5050985396582318,0.560376911217815,0.9356769264697828,0.27730605521402557,-1.049,0.516,1.351,-0.757,0.647,-0.421,0.988,-2.024,0.338,-0.536,-1.382,-1.612,-0.72
RF.N,1.145298600542375,-1.3386568472169194,1.6589822636398113,2.931688734033435,0.74704822776224,0.9047037594115962,0.40312651812486966,-0.32798809700375936,-1.8143832462188947,-1.8846531796897033,1.2220667551292108,-0.23853950666322812,1.7704290622533223,0.8817145501820555,1.0985188700677087,-1.032,0.521,-0.427,-0.775,-0.506,-0.169,-0.329,-0.851,0.214,-1.121,0.249,0.074,-0.231
AAL.OQ,2.2555422835712142,-0.9637064880059109,0.8435940793387787,3.4938506584162625,1.5434555856074037,1.663710544526012,1.089950929348782,-0.4133862519091693,-2.517870104117703,-2.806640608976931,1.8993864906323197,0.5214827367887939,1.565567830003415,0.8804216996762164,0.3702202328812604,-2.519,-1.871,1.886,-1.758,-1.364,-0.024,0.286,-0.527,1.513,0.983,3.121,0.638,1.29
PSA.N,-0.8170167936502104,0.8687604742849212,0.38818124112355196,-0.5988153703342038,-0.010029778000357035,0.19291657749648322,-0.6371539920773968,-0.24361596647474973,0.197211847443691,0.24003404545442814,-0.7621710177369261,-0.26796857937194696,-0.7165637246887169,-0.46641586856499945,-0.9708920582250901,0.363,1.948,-0.343,0.307,0.353,0.098,0.032,0.658,-0.533,0.906,-0.088,0.395,-0.801
FTV.N,0.36519335557869204,-0.5713322549773167,0.5123786804637396,0.7803095231720384,0.3261145996296082,0.4506929451812114,-0.4205560206105217,-0.33523135750194194,-0.9304732293506626,-0.8511979063546306,-0.1388467032203835,-0.5234602136808497,0.4366776570966463,-0.17756650612106525,0.06888936897531531,-0.396,0.41,-0.149,-0.327,-0.39,-0.185,-0.599,-0.234,-0.675,-0.587,-0.291,0.517,0.496
BWA.N,0.596324072897753,-0.8122328386220234,0.708530154702802,1.6315329712375268,1.0724479771119244,0.9013759181837563,-0.13961121594221235,-0.40303969659392996,-1.1938674375199774,-1.653027244465933,0.33381402992139736,-0.3690094420264004,0.8219289670190679,0.3890993547665027,0.620465203527871,-0.4,-1.38,0.688,-0.744,-1.238,-0.271,-0.903,-0.234,0.14,-1.123,0.323,0.099,0.145
KR.N,-2.6928818072236815,2.0134223079942,1.4332545736503841,-1.5894203123874122,-1.7145505181854448,-1.9741523962470382,0.0439724379148301,0.924975224464947,2.068788146850949,1.816099530340124,-0.11977344616010491,0.937926806016423,-1.5924221649303494,-0.08734229359457442,-0.9455272030669574,-0.451,-1.825,0.595,-0.087,-0.064,0.015,-0.077,0.915,-0.617,1.048,0.371,0.15,-1.391
SWK.N,1.1222447930122443,-1.0996992652060582,0.4874499652582547,1.4317692954041585,0.7280039072070625,1.1204956445459975,-0.3779660749816461,-0.7524147539506972,-1.3458368627941826,-1.4208318751761346,-0.34841211303279235,-1.059724106570094,0.9231539113649512,-0.0307535230261972,0.6873066186979319,-0.322,-1.34,0.911,-0.86,-1.079,0.076,-0.724,-2.508,1.036,0.191,1.462,0.887,-0.84
PCG.N,0.7576769303732536,-1.037834109273707,0.6823950238495244,1.4584441192257824,0.19505954111941584,0.5587205734225835,0.06614164748787232,-0.068446992113744,-1.7629423703694849,-0.8210051794153757,0.12873183747757358,-0.6843549156108131,1.0037040692910746,-0.16220739268608986,0.7235347665913345,-0.95,-0.476,1.215,-0.714,0.156,0.112,-0.254,1.61,-0.338,1.08,1.124,1.761,-1.438
CLX.N,-2.5725562393780175,2.1791375882610757,0.8502904709698792,-2.164889405951129,-1.4366331371281602,-1.8606136795621724,-0.07865200118186835,1.1107326064048835,1.7714108804757471,1.9666934068899096,-0.5402126721868808,0.8800974497765531,-2.0468953960373795,0.06245781395708504,-1.32784555108808,-0.124,-0.175,-0.136,2.884,-0.652,1.0,-0.099,-0.003,-0.551,0.84,1.612,1.782,-0.429
PPG.N,0.320197943448944,-0.46000900179405957,0.5774749033668685,0.7193133677539475,0.5763142398608956,0.48034373387109497,-0.12392466024772855,-0.5051635380755941,-0.966055505775119,-0.8906900847725886,-0.03955471298598872,-0.3010174383532105,0.25064129880055847,0.09036495914208788,-0.026863023557343865,-0.155,-0.582,0.161,0.306,-0.138,0.566,-0.092,-0.838,0.124,-0.486,-0.872,-0.4,0.538
CCI.N,-0.5978921746436098,0.5831161456669067,0.3106797927839058,-0.9389478587811863,-0.17237896341069134,0.0060928166798032545,-0.7662132641299338,-0.15285659406809438,0.06697321194902922,0.2925545291367867,-1.049490715288003,-0.39854892966540106,-0.8991913392211933,-0.5213975725722878,-0.9569323290890617,-0.853,1.429,0.488,0.752,0.524,-1.065,0.07,-1.429,-0.224,-0.877,-1.056,-0.965,-0.071
ATVI.OQ,-1.937687665893016,0.9054413544445663,0.19621297360877274,-1.1930875577517714,-0.8097366241509687,-1.0578239792271458,-0.32140997116616626,0.1687896439433736,0.9167833809666062,0.9597182203547333,-0.18704576630027803,0.42320511357531393,-0.9549031183883846,-0.30281283660607794,-0.48115029375067936,0.394,1.361,-0.801,-0.093,0.543,-0.502,1.239,-0.357,-1.457,-1.194,0.358,-0.167,-5.858
IEX.N,-0.3395153927166267,-0.2138912730732757,0.6700933216176204,0.17930669055107143,-0.4369176766432983,-0.2915264502377593,-0.0647657084275595,0.023241405023120318,-0.07029743693422766,0.006739755126868006,-0.010973961072412802,-0.0005720708454274129,-0.13509820337107595,-0.07666982896300631,-0.30863858591944165,0.162,0.842,-0.82,0.531,-0.657,-1.244,-1.094,-0.284,-0.997,-0.875,-0.378,0.08,1.688
ABC.N,-1.4593484516774078,0.8532207373902752,1.410464902542977,-0.5204625761244133,-0.8055085197495687,-0.9462833367153953,0.1789885214555964,0.6785352460331103,0.6047607073219368,0.8502658950448315,0.5245443473828546,1.0447665544615148,-0.9215444883314763,0.4489978980948417,-0.8139332308149847,-0.676,-1.929,-0.028,-1.758,-0.016,0.795,-0.282,1.637,-1.276,1.021,0.009,-0.23,-0.885
ITW.N,-0.29247985040868696,0.2548306735531995,0.8771127071569866,0.05079381264343551,-0.11763578129887327,-0.22668244125576092,-0.20370907135055227,0.17039282421723997,-0.22168827883870504,-0.23076023933219955,0.08528102788682598,0.10717994547736304,-0.16385171199616194,0.2144484885919633,-0.1613660148154872,1.013,0.507,-0.437,1.912,0.66,-0.762,0.108,-0.054,-0.784,-0.293,0.213,1.791,-0.217
MNST.OQ,-0.8050576050983788,0.356093889260167,0.30490310984590085,-0.4870506817267477,-0.4796869844913245,-0.6300093043078566,-0.1761362364075965,0.4391980115495682,0.06333726387437134,0.48261331508499794,-0.17130752111363454,0.2356010514861581,-0.6712456870153627,0.04289524647692288,-0.3445791918973544,1.335,1.424,-2.901,0.772,0.424,0.483,0.387,1.081,-1.04,2.459,-1.275,-0.621,2.031
DFS.N,2.3331652092174497,-1.717714124355491,0.9373742471723956,3.4059386980070254,1.9710936883110304,2.3092373655481806,-0.3545152677309334,-0.9026899226099583,-3.154746766615834,-2.9826195907486652,0.54112436598578,-1.034806170806331,2.0216015003613177,0.30920835399352714,1.4019792408334681,-0.578,-0.262,1.166,-0.531,-0.234,-0.189,-0.153,-0.333,0.488,-0.869,-0.019,-0.205,0.506
