timestamp,Return On Assets - Actual,Price To Sales Per Share,Total Debt To Enterprise Value,Price To Book Value Per Share,Company Market Capitalization,Trailing 30-day Price Net Change,Average Daily Value Traded - 30 Days,Weekly Sharpe Ratio - 2 Year,Volatility - 260 days,Weekly Beta Up - 2 Year,Weekly Beta Down - 2 Year,RSI Simple - 14 Days,Short Interest Pct,Days To Cover
POOL.OQ,7.519,1.92931,11.39854,9.91477,11806173339.94,3.53,54408069.60043,-0.03274,41.96546,1.15032,1.18047,42.60158,8.59666,8.03519
CHRW.OQ,13.869,0.41243,17.78943,6.58193,10777478890.08,2.59,50876413.82435,0.01421,30.64542,0.95769,0.55854,51.19387,9.40968,9.09524
AJG.N,7.519,4.67943,13.7307,4.63554,39751773600.0,28.95,59538153.37,0.18397,23.77723,0.99571,0.96213,76.74308,0.55431,1.52279
CNP.N,2.81,2.11562,44.93284,1.88967,18879773573.69,0.71,31035428.96696,0.07471,23.48949,0.68376,0.80387,39.78495,1.63933,3.2489
AMCR.N,7.07,1.19535,28.75723,4.51413,17734222911.96,-0.84,22436187.10957,-0.06245,27.51662,0.93952,0.95321,34.66135,2.04985,4.40782
WM.N,7.0,3.31236,17.95499,9.18765,64395646820.48,7.71,80020736.34217,0.07365,19.8425,0.54022,0.75553,62.37006,0.91432,2.38673
BA.N,-3.82,1.84837,36.54885,-6.41053,113528838244.08,-10.34,178032085.68522,0.00146,42.51512,1.34587,1.04949,40.96901,1.39773,1.36311
FOX.OQ,7.049,1.16717,38.88449,1.43499,16020383676.38,-2.62,14649501.77957,-0.06606,29.93305,0.48572,0.86933,35.14493,0.58248,1.1974
LIN.N,6.57,4.75857,8.83747,4.28555,160663461847.02,18.79,178748559.00217,0.09125,25.89978,1.2546,0.80437,53.01926,0.67014,2.2078
WY.N,14.1,2.10212,19.47474,2.05409,22213068855.068,0.58,40005308.87522,-0.0451,30.41218,0.83946,1.03763,42.28457,1.86881,4.21647
MCD.N,13.13,8.29633,15.45497,-29.39438,193015668258.76,18.35,208742533.15913,0.11804,17.82965,0.79958,0.58334,57.56173,0.87426,2.41926
