timestamp,Instrument,GICS Sector Code,GICS Industry Group Code,GICS Industry Code,GICS Sub-Industry Code
0,PEP.OQ,30,3020,302010,30201030
1,CDW.OQ,45,4520,452030,45203030
2,USB.N,40,4010,401010,40101010
3,RF.N,40,4010,401010,40101015
4,AAL.OQ,20,2030,203020,20302010
5,PSA.N,60,6010,601080,60108020
6,FTV.N,20,2010,201060,20106020
7,BWA.N,25,2510,251010,25101010
8,KR.N,30,3010,301010,30101030
9,SWK.N,20,2010,201060,20106020
10,PCG.N,55,5510,551010,55101010
11,CLX.N,30,3030,303010,30301010
12,PPG.N,15,1510,151010,15101050
13,CCI.N,60,6010,601080,60108030
14,CPRI.N,25,2520,252030,25203010
15,ATVI.OQ,50,5020,502020,50202020
16,IEX.N,20,2010,201060,20106020
17,ABC.N,35,3510,351020,35102010
18,ITW.N,20,2010,201060,20106020
19,MNST.OQ,30,3020,302010,30201030
20,DFS.N,40,4020,402020,40202010
21,BKNG.OQ,25,2530,253010,25301020
22,DOW.N,15,1510,151010,15101010
23,MSCI.N,40,4020,402030,40203040
24,IR.N,20,2010,201060,20106020
25,BKR.OQ,10,1010,101010,10101020
26,UHS.N,35,3510,351020,35102020
27,QRVO.OQ,45,4530,453010,45301020
28,CHRW.OQ,20,2030,203010,20301010
29,FICO.N,45,4510,451030,45103010
30,AMCR.N,15,1510,151030,15103020
31,RE.N,40,4030,403010,40301050
32,BDX.N,35,3510,351010,35101010
33,MPWR.OQ,45,4530,453010,45301020
34,ZION.OQ,40,4010,401010,40101015
35,PFG.OQ,40,4030,403010,40301020
36,APTV.N,25,2510,251010,25101010
37,PCAR.OQ,20,2010,201060,20106010
38,WBD.OQ,50,5020,502020,50202010
39,SPGI.N,40,4020,402030,40203040
40,AMP.N,40,4020,402030,40203010
41,BFb.N,30,3020,302010,30201020
42,PEAK.N,60,6010,601050,60105010
43,LH.N,35,3510,351020,35102015
44,MTB.N,40,4010,401010,40101015
45,CVX.N,10,1010,101020,10102010
46,NRG.N,55,5510,551010,55101010
47,CE.N,15,1510,151010,15101050
48,KDP.OQ,30,3020,302010,30201030
49,WRB.N,40,4030,403010,40301040
50,SEDG.OQ,45,4530,453010,45301010
51,CPT.N,60,6010,601060,60106010
52,HUM.N,35,3510,351020,35102030
53,STE.N,35,3510,351010,35101010
54,ROST.OQ,25,2550,255040,25504010
55,AKAM.OQ,45,4510,451020,45102030
56,ETSY.OQ,25,2550,255030,25503030
57,FIS.N,40,4020,402010,40201060
58,DHI.N,25,2520,252010,25201030
59,CMG.N,25,2530,253010,25301040
60,BLK.N,40,4020,402030,40203010
61,TXT.N,20,2010,201010,20101010
62,PLD.N,60,6010,601025,60102510
63,MRNA.OQ,35,3520,352010,35201010
64,RCL.N,25,2530,253010,25301020
65,ROL.N,20,2020,202010,20201050
66,TECH.OQ,35,3520,352030,35203010
67,VLO.N,10,1010,101020,10102030
68,NDAQ.OQ,40,4020,402030,40203040
69,NEM.N,15,1510,151040,15104030
70,ROK.N,20,2010,201040,20104010
71,FMC.N,15,1510,151010,15101030
72,CFG.N,40,4010,401010,40101015
73,STT.N,40,4020,402030,40203010
74,STLD.OQ,15,1510,151040,15104050
75,SNA.N,20,2010,201060,20106020
76,CMCSA.OQ,50,5020,502010,50201030
77,GNRC.N,20,2010,201040,20104010
78,DPZ.N,25,2530,253010,25301040
79,PNC.N,40,4010,401010,40101010
80,JNPR.N,45,4520,452010,45201020
81,MMC.N,40,4030,403010,40301010
82,LOW.N,25,2550,255040,25504030
83,IFF.N,15,1510,151010,15101050
84,KHC.OQ,30,3020,302020,30202030
85,HBAN.OQ,40,4010,401010,40101015
86,ED.N,55,5510,551030,55103010
87,MSFT.OQ,45,4510,451030,45103020
88,YUM.N,25,2530,253010,25301040
89,HD.N,25,2550,255040,25504030
90,ACGL.OQ,40,4030,403010,40301040
91,HPE.N,45,4520,452020,45202030
92,NEE.N,55,5510,551010,55101010
93,ABBV.N,35,3520,352010,35201010
94,MOH.N,35,3510,351020,35102030
95,EQIX.OQ,60,6010,601080,60108050
