timestamp,S&P500,VIX,ValueOverGrowth,SmallOverLarge,USD_to_EUR,USD_to_GBP,JPY_to_USD,CNH_to_USD,MXN_to_USD,CAD_to_USD,_10_y_UST,_10_y_UST_real,_10_y_BE,_2s10s_UST,Brent_Crude
2019-12-31,3230.78,13.78,0.95238,1.27302,1.1227,1.3269,108.67,6.9618,18.86,1.2962,1.92,0.15,1.77,0.34,67.77
2020-01-01,3230.78,13.78,0.95238,1.27302,1.1227,1.3269,108.67,6.9618,18.86,1.2962,1.92,0.15,1.77,0.34,67.77
2020-01-02,3257.85,12.47,0.94367,1.26208,1.1166,1.3128,108.43,6.9642,18.889,1.2998,1.88,0.08,1.8,0.3,67.05
2020-01-03,3234.85,14.02,0.94342,1.26642,1.1173,1.3091,107.94,6.9649,18.865,1.2985,1.8,0.03,1.77,0.27,69.08
2020-01-06,3246.28,13.85,0.93812,1.26342,1.1187,1.3163,108.36,6.9749,18.821,1.2964,1.81,0.06,1.75,0.27,70.25
2020-01-07,3237.18,13.79,0.93491,1.26348,1.1138,1.3127,108.53,6.9443,18.876,1.3016,1.83,0.09,1.74,0.29,68.74
2020-01-08,3253.05,13.45,0.93094,1.26129,1.1117,1.311,109.03,6.9447,18.773,1.3026,1.87,0.12,1.75,0.29,67.31
2020-01-09,3274.7,12.54,0.92795,1.2538,1.1106,1.3069,109.47,6.9309,18.83,1.309,1.85,0.11,1.74,0.27,66.58
2020-01-10,3265.35,12.56,0.92701,1.25221,1.1119,1.306,109.5,6.9178,18.768,1.3051,1.83,0.07,1.76,0.27,66.77
2020-01-13,3288.13,12.32,0.92564,1.25351,1.1138,1.2983,109.93,6.8924,18.82,1.3049,1.85,0.08,1.77,0.27,64.14
2020-01-14,3283.15,12.39,0.92892,1.26002,1.113,1.3018,110.05,6.8837,18.804,1.3056,1.82,0.05,1.77,0.24,64.45
2020-01-15,3289.29,12.42,0.928,1.26146,1.116,1.303,109.94,6.8899,18.81,1.304,1.79,0.04,1.75,0.23,63.29
2020-01-16,3316.81,12.32,0.92618,1.2661,1.1131,1.3076,110.16,6.8769,18.777,1.3042,1.81,0.07,1.74,0.23,64.63
2020-01-17,3329.62,12.1,0.92496,1.25817,1.1093,1.3029,110.16,6.8589,18.728,1.3074,1.84,0.09,1.75,0.26,64.05
2020-01-20,3329.62,12.1,0.92496,1.25817,1.1093,1.3029,110.16,6.8589,18.728,1.3074,1.84,0.09,1.75,0.26,64.63
2020-01-21,3320.79,12.85,0.92298,1.25137,1.1096,1.3047,109.95,6.9049,18.702,1.3068,1.78,0.04,1.74,0.25,63.66
2020-01-22,3321.75,12.91,0.92194,1.24983,1.1085,1.3136,109.93,6.904,18.693,1.3135,1.77,0.05,1.72,0.24,62.11
2020-01-23,3325.54,12.98,0.92203,1.24846,1.1041,1.3104,109.39,6.9364,18.833,1.3144,1.74,0.04,1.7,0.23,61.26
2020-01-24,3295.47,14.56,0.92315,1.24348,1.1026,1.3071,109.31,6.9161,18.845,1.3146,1.7,0.02,1.68,0.21,59.34
2020-01-27,3243.63,18.23,0.92832,1.24861,1.1019,1.3054,108.95,6.9161,18.9599,1.3176,1.61,-0.02,1.63,0.17,58.54
2020-01-28,3276.24,16.28,0.92301,1.24607,1.1008,1.2996,109.17,6.9161,18.78,1.3174,1.65,0.0,1.65,0.2,59.37
2020-01-29,3273.4,16.39,0.92073,1.24126,1.1004,1.3012,109.15,6.9161,18.6762,1.3201,1.6,-0.04,1.64,0.18,59.46
2020-01-30,3283.66,15.49,0.9264,1.23651,1.1032,1.3106,108.75,6.9161,18.799,1.3216,1.57,-0.07,1.64,0.16,57.72
2020-01-31,3225.52,18.84,0.92681,1.23306,1.1082,1.3195,108.5,6.9161,18.89,1.322,1.51,-0.14,1.65,0.18,57.77
2020-02-03,3248.92,17.97,0.92275,1.23632,1.1062,1.3006,108.59,7.0208,18.79,1.3295,1.54,-0.09,1.63,0.18,54.0
2020-02-04,3297.59,16.05,0.91763,1.2356,1.1043,1.3029,109.41,6.9979,18.676,1.3266,1.61,-0.03,1.64,0.2,53.9
2020-02-05,3334.69,15.15,0.92396,1.24105,1.1006,1.3,109.74,6.972,18.62,1.3294,1.66,0.0,1.66,0.22,55.36
2020-02-06,3345.78,14.96,0.92123,1.23364,1.0979,1.2935,109.89,6.9694,18.67,1.3292,1.65,-0.02,1.67,0.21,55.18
2020-02-07,3327.71,15.47,0.92181,1.22617,1.095,1.2908,109.81,7.0003,18.755,1.3304,1.59,-0.07,1.66,0.18,54.53
2020-02-10,3352.09,15.04,0.91905,1.22442,1.0916,1.2919,109.77,6.982,18.767,1.3323,1.56,-0.1,1.66,0.19,53.39
2020-02-11,3357.75,15.18,0.91815,1.22969,1.0917,1.2945,109.78,6.965,18.694,1.3299,1.59,-0.06,1.65,0.18,54.0
2020-02-12,3379.45,13.74,0.91144,1.22983,1.0893,1.2978,110.0,6.9708,18.627,1.3243,1.62,-0.04,1.66,0.18,55.54
2020-02-13,3373.94,14.15,0.9082,1.23436,1.0848,1.3051,109.81,6.9759,18.642,1.3255,1.61,-0.06,1.67,0.17,56.34
2020-02-14,3380.16,13.68,0.90627,1.22955,1.0839,1.3039,109.77,6.9859,18.57,1.3251,1.59,-0.07,1.66,0.17,57.37
2020-02-17,3380.16,13.68,0.90627,1.22955,1.0839,1.3039,109.77,6.9859,18.57,1.3251,1.59,-0.07,1.66,0.17,57.83
2020-02-18,3370.29,14.83,0.90369,1.22846,1.0815,1.3017,109.8,6.9949,18.589,1.3256,1.55,-0.1,1.65,0.14,57.35
2020-02-19,3386.15,14.38,0.89782,1.22813,1.0794,1.2934,111.17,6.9975,18.588,1.3232,1.56,-0.09,1.65,0.14,59.72
2020-02-20,3373.23,15.56,0.90248,1.23528,1.0797,1.2877,111.86,7.0225,18.82,1.3259,1.52,-0.11,1.63,0.13,59.57
2020-02-21,3337.75,17.08,0.91017,1.23558,1.0855,1.2966,111.74,7.0255,18.813,1.3217,1.46,-0.15,1.61,0.12,58.6
2020-02-24,3225.89,25.03,0.91929,1.24082,1.0857,1.2923,110.56,7.0286,19.089,1.3282,1.38,-0.21,1.59,0.12,56.71
2020-02-25,3128.21,27.85,0.92275,1.23518,1.0868,1.3004,110.23,7.0128,19.054,1.3285,1.33,-0.2,1.53,0.13,55.29
2020-02-26,3116.39,27.56,0.91984,1.22431,1.0887,1.2921,110.36,7.0214,19.163,1.3321,1.33,-0.21,1.54,0.17,54.96
2020-02-27,2978.76,39.16,0.91824,1.23537,1.0977,1.2876,110.15,7.0036,19.347,1.3356,1.3,-0.23,1.53,0.19,52.19
2020-02-28,2954.22,40.11,0.9102,1.22697,1.1001,1.2778,108.12,6.9906,19.73,1.3411,1.13,-0.28,1.41,0.27,51.31
2020-03-02,3090.23,33.42,0.90933,1.20834,1.1164,1.2791,108.02,6.9595,19.583,1.3334,1.1,-0.31,1.41,0.26,52.52
2020-03-03,3003.37,36.82,0.912,1.21581,1.1175,1.2827,107.28,6.9579,19.33,1.3352,1.02,-0.43,1.45,0.31,52.24
2020-03-04,3130.12,31.99,0.91151,1.20223,1.113,1.2836,107.34,6.9244,19.533,1.3425,1.02,-0.44,1.46,0.35,51.86
2020-03-05,3023.94,39.62,0.91792,1.20097,1.1202,1.2939,106.56,6.9366,19.825,1.3403,0.92,-0.48,1.4,0.33,51.29
2020-03-06,2972.37,41.94,0.91747,1.1978,1.1319,1.301,105.31,6.9298,20.171,1.342,0.74,-0.57,1.31,0.25,45.6
2020-03-09,2746.56,54.46,0.91376,1.17223,1.142,1.31,102.52,6.9448,20.926,1.3527,0.54,-0.45,0.99,0.16,35.33
2020-03-10,2882.23,47.3,0.90492,1.15335,1.1342,1.2933,103.71,6.9549,21.051,1.3775,0.76,-0.24,1.0,0.26,35.57
2020-03-11,2741.38,53.9,0.90192,1.13558,1.128,1.2887,104.81,6.9595,21.205,1.3748,0.82,-0.14,0.96,0.32,34.45
2020-03-12,2480.64,75.47,0.89916,1.11625,1.1081,1.2541,105.67,7.0282,22.326,1.3869,0.88,-0.04,0.92,0.38,31.02
2020-03-13,2711.02,57.83,0.90407,1.10372,1.1066,1.2406,107.15,7.0079,21.885,1.3991,0.94,0.04,0.9,0.45,32.25
2020-03-16,2386.13,82.69,0.91595,1.07788,1.1139,1.2278,105.64,6.9913,22.613,1.3974,0.73,0.0,0.73,0.37,27.98
2020-03-17,2529.19,75.91,0.93048,1.07467,1.0971,1.2017,107.41,7.003,23.14,1.4188,1.02,0.39,0.63,0.55,27.97
2020-03-18,2398.1,76.45,0.92725,1.01501,1.0833,1.176,108.45,7.0459,23.72,1.4529,1.18,0.55,0.63,0.64,22.79
2020-03-19,2409.39,72.0,0.90394,1.07086,1.0699,1.1662,110.08,7.1058,24.087,1.4463,1.12,0.62,0.5,0.68,23.98
2020-03-20,2304.92,66.04,0.90111,1.07484,1.0682,1.1743,111.3,7.095,24.026,1.4363,0.92,0.17,0.75,0.55,25.55
2020-03-23,2237.4,61.59,0.87909,1.08317,1.076,1.1492,111.36,7.09,25.127,1.4539,0.76,-0.04,0.8,0.48,23.75
2020-03-24,2447.33,61.67,0.87788,1.08678,1.0794,1.1784,111.44,7.061,25.132,1.448,0.84,-0.13,0.97,0.46,24.5
2020-03-25,2475.56,63.95,0.87974,1.09708,1.0835,1.1763,111.43,7.1099,24.395,1.4333,0.88,-0.19,1.07,0.54,25.62
2020-03-26,2630.07,61.0,0.88683,1.09665,1.1025,1.214,109.45,7.0709,23.13,1.4045,0.83,-0.24,1.07,0.53,23.55
2020-03-27,2541.47,65.54,0.8943,1.09113,1.1059,1.236,108.16,7.0942,23.41,1.4075,0.72,-0.22,0.94,0.47,22.39
2020-03-30,2626.65,57.08,0.89912,1.07726,1.1018,1.2392,108.06,7.0986,24.265,1.4169,0.7,-0.25,0.95,0.47,19.19
2020-03-31,2584.59,53.54,0.89526,1.08723,1.1016,1.2454,107.53,7.0808,23.448,1.4123,0.7,-0.17,0.87,0.47,14.85
2020-04-01,2470.5,57.06,0.90038,1.06222,1.0934,1.2394,107.05,7.0989,24.453,1.4222,0.62,-0.29,0.91,0.39,14.97
2020-04-02,2526.9,50.91,0.90928,1.05114,1.0862,1.238,107.85,7.0857,24.034,1.411,0.63,-0.4,1.03,0.4,20.24
2020-04-03,2488.65,46.8,0.91089,1.03388,1.0797,1.2228,108.53,7.0908,24.69,1.4132,0.62,-0.46,1.08,0.39,24.33
2020-04-06,2663.68,45.24,0.89724,1.04628,1.0808,1.2298,109.11,7.0895,24.628,1.4125,0.67,-0.47,1.14,0.4,22.58
2020-04-07,2659.41,46.7,0.89826,1.05439,1.0886,1.2343,108.97,7.0448,24.035,1.3971,0.75,-0.42,1.17,0.47,22.1
2020-04-08,2749.98,43.35,0.89951,1.06799,1.0864,1.2394,108.7,7.0649,24.039,1.4015,0.77,-0.42,1.19,0.5,25.22
