timestamp,Instrument,GICS Sector Name,GICS Industry Group Name,GICS Industry Name,GICS Sub-Industry Name
0,NEE.N,Utilities,Utilities,Electric Utilities,Electric Utilities
1,SHW.N,Materials,Materials,Chemicals,Specialty Chemicals
2,ECL.N,Materials,Materials,Chemicals,Specialty Chemicals
3,APD.N,Materials,Materials,Chemicals,Industrial Gases
4,FRC.N,Financials,Banks,Banks,Regional Banks
5,FRT.N,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs,Retail REITs
6,VRSN.OQ,Information Technology,Software & Services,IT Services,Internet Services & Infrastructure
7,CE.N,Materials,Materials,Chemicals,Specialty Chemicals
8,PYPL.OQ,Financials,Financial Services,Financial Services,Transaction & Payment Processing Services
9,SWKS.OQ,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
10,SRE.N,Utilities,Utilities,Multi-Utilities,Multi-Utilities
11,PCAR.OQ,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Transportation Equipment
12,STE.N,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
13,ADBE.OQ,Information Technology,Software & Services,Software,Application Software
14,CL.N,Consumer Staples,Household & Personal Products,Household Products,Household Products
15,MPC.N,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
16,HOLX.OQ,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
17,LKQ.OQ,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Distributors,Distributors
18,ADM.N,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Services
19,ROST.OQ,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Apparel Retail
20,AAP.N,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Automotive Retail
21,CRL.N,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services
22,CMS.N,Utilities,Utilities,Multi-Utilities,Multi-Utilities
23,TSCO.OQ,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Other Specialty Retail
24,LDOS.N,Industrials,Commercial  & Professional Services,Professional Services,Research & Consulting Services
25,PH.N,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplies & Components
26,AME.N,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
27,MCK.N,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
28,WBA.OQ,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Drug Retail
29,NWL.OQ,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Housewares & Specialties
30,AES.N,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders
31,ENPH.OQ,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment
32,ANSS.OQ,Information Technology,Software & Services,Software,Application Software
33,ADI.OQ,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
34,PKI.N,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services
35,WHR.N,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Household Appliances
36,JBHT.OQ,Industrials,Transportation,Ground Transportation,Cargo Ground Transportation
37,IEX.N,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplies & Components
38,UHS.N,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
39,CRM.N,Information Technology,Software & Services,Software,Application Software
40,AIG.N,Financials,Insurance,Insurance,Multi-line Insurance
41,DOV.N,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplies & Components
42,GLW.N,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Components
43,NXPI.OQ,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
44,SNPS.OQ,Information Technology,Software & Services,Software,Application Software
45,NVR.N,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
46,AAL.OQ,Industrials,Transportation,Passenger Airlines,Passenger Airlines
47,AFL.N,Financials,Insurance,Insurance,Life & Health Insurance
48,HLT.N,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
49,AIZ.N,Financials,Insurance,Insurance,Multi-line Insurance
50,PPG.N,Materials,Materials,Chemicals,Specialty Chemicals
51,BR.N,Industrials,Commercial  & Professional Services,Professional Services,Data Processing & Outsourced Services
52,AON.N,Financials,Insurance,Insurance,Insurance Brokers
53,C.N,Financials,Banks,Banks,Diversified Banks
